Object Tracking Data File Wed, Oct 12, 2022 5:48 PM
X (pixels)  	Y (pixels)  
801.74	249.18
806.77	254.20
805.95	248.73
805.90	249.89
809.10	246.04
809.31	246.72
818.95	244.29
812.11	243.95
811.21	246.54
810.39	243.46
810.11	244.77
806.08	246.17
807.83	239.12
806.78	237.60
810.12	242.92
806.87	241.35
803.12	237.01
808.88	241.88
800.94	246.95
798.38	250.44
793.51	250.86
789.32	249.87
790.29	251.39
799.79	245.87
790.50	250.66
787.58	253.18
788.87	255.32
788.85	252.92
794.54	253.47
795.25	249.22
793.15	243.04
782.81	241.85
779.79	242.32
778.54	247.35
781.67	248.52
781.78	253.87
781.82	254.08
784.91	252.59
773.04	255.80
767.61	261.93
768.93	268.94
769.36	267.82
766.56	268.13
753.90	261.98
749.81	262.12
752.07	261.52
749.86	259.12
743.90	248.97
749.82	248.35
756.98	252.42
762.61	245.15
762.73	251.97
763.83	257.43
764.99	252.47
760.14	251.65
759.05	254.83
753.12	252.97
746.63	248.04
746.09	247.25
746.71	256.07
755.41	256.46
756.00	256.05
752.06	255.25
746.66	261.88
743.47	270.67
744.51	275.16
743.00	279.65
743.32	283.02
741.93	281.16
735.25	276.93
738.06	272.23
739.16	272.90
740.87	280.45
736.62	281.31
732.76	285.82
737.88	283.72
737.23	287.73
736.83	279.50
736.98	278.71
734.93	273.63
750.01	276.55
745.17	275.09
742.51	272.03
722.63	276.04
720.73	270.72
739.68	267.67
717.13	270.25
714.75	266.92
712.26	261.49
709.74	264.12
707.91	266.33
701.38	261.57
690.88	264.53
690.33	260.18
692.69	262.75
693.27	259.37
688.53	256.63
691.33	260.99
696.70	265.53
693.49	264.63
689.50	266.16
685.59	266.26
689.13	267.21
685.58	270.11
683.19	264.75
677.16	261.56
675.56	257.91
677.92	256.46
673.99	255.46
672.35	251.95
671.70	257.08
672.64	250.58
664.85	250.72
662.83	242.96
661.65	245.40
665.33	244.88
664.56	240.49
682.52	237.86
661.32	236.89
683.59	231.27
